algorithm,transformation,max_features,ngram_range,data_type,mean_balanced_accuracy,mean_recall,mean_roc_auc,mean_f1,mean_precision
LR1,tfidf,800,"(1, 2)",clean_lemmatization,0.85,0.72,0.85,0.93,0.85
LR2,tfidf,800,"(1, 2)",clean_lemmatization,0.87,0.73,0.87,0.94,0.87
RF,tfidf,800,"(1, 2)",clean_lemmatization,0.96,0.92,0.96,0.98,0.96
XGB,tfidf,800,"(1, 2)",clean_lemmatization,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.9,0.85,0.9,0.93,0.9
SVMR,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.86,0.73,0.86,0.93,0.86
LR2,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.88,0.77,0.88,0.95,0.88
RF,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.95,0.92,0.95,0.98,0.95
XGB,tfidf,800,"(1, 2)",clean_steeming_lemmatization,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 3)",clean,0.94,0.94,0.94,0.94,0.94
SVMR,tfidf,800,"(1, 3)",clean,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 3)",clean,0.93,0.88,0.93,0.97,0.93
LR1,tfidf,800,"(1, 3)",clean,0.84,0.69,0.84,0.92,0.84
LR2,tfidf,800,"(1, 3)",clean,0.86,0.72,0.86,0.93,0.86
RF,tfidf,800,"(1, 3)",clean,0.94,0.89,0.94,0.97,0.94
XGB,tfidf,800,"(1, 3)",clean,0.89,0.79,0.89,0.94,0.89
NB,tfidf,800,"(1, 3)",clean_steeming,0.9,0.84,0.9,0.93,0.9
SVMR,tfidf,800,"(1, 3)",clean_steeming,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.98,0.95
LR1,tfidf,800,"(1, 3)",clean_steeming,0.86,0.73,0.86,0.93,0.86
LR2,tfidf,800,"(1, 3)",clean_steeming,0.87,0.75,0.87,0.94,0.87
RF,tfidf,800,"(1, 3)",clean_steeming,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,800,"(1, 3)",clean_steeming,0.88,0.78,0.88,0.94,0.88
NB,tfidf,800,"(1, 3)",clean_lemmatization,0.92,0.91,0.92,0.94,0.92
SVMR,tfidf,800,"(1, 3)",clean_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 3)",clean_lemmatization,0.95,0.9,0.95,0.97,0.95
LR1,tfidf,800,"(1, 3)",clean_lemmatization,0.85,0.71,0.85,0.93,0.85
LR2,tfidf,800,"(1, 3)",clean_lemmatization,0.87,0.73,0.87,0.94,0.87
RF,tfidf,800,"(1, 3)",clean_lemmatization,0.95,0.91,0.95,0.97,0.95
XGB,tfidf,800,"(1, 3)",clean_lemmatization,0.88,0.78,0.88,0.93,0.88
NB,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.9,0.85,0.9,0.93,0.9
SVMR,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.5,0.0,0.5,0.89,0.5
SVML,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.96,0.92,0.96,0.98,0.96
LR1,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.87,0.74,0.87,0.93,0.87
LR2,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.88,0.76,0.88,0.94,0.88
RF,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.95,0.9,0.95,0.97,0.95
XGB,tfidf,800,"(1, 3)",clean_steeming_lemmatization,0.88,0.78,0.88,0.93,0.88
